City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,saint-philippe,-21.3585,55.7679,55.7679,86,82,1.37,RE,1674755916
290,yurginskoye,56.8189,67.3921,67.3921,93,100,7.51,RU,1674755916
291,namibe,-15.1961,12.1522,12.1522,78,83,3.79,AO,1674755917
292,cananeia,-25.0147,-47.9267,-47.9267,61,39,4.35,BR,1674755917
293,barra do garcas,-15.89,-52.2567,-52.2567,62,40,0.0,BR,1674755918
294,comodoro rivadavia,-45.8667,-67.5,-67.5,23,0,10.29,AR,1674755918
295,polunochnoye,60.8697,60.4153,60.4153,77,86,5.97,RU,1674755918
296,forrest city,35.0081,-90.7898,-90.7898,53,13,5.74,US,1674755670
297,hambantota,6.1241,81.1185,81.1185,100,20,1.54,LK,1674755919
298,yerbogachen,61.2767,108.0108,108.0108,98,100,1.77,RU,1674755919
299,xiaoweizhai,26.1903,107.5125,107.5125,65,85,3.75,CN,1674755920
300,guerrero negro,27.9769,-114.0611,-114.0611,27,99,2.16,MX,1674755920
301,bumba,2.1833,22.4667,22.4667,46,73,1.16,CD,1674755920
302,kysyl-syr,63.8986,122.7617,122.7617,100,67,1.8,RU,1674755921
303,arraial do cabo,-22.9661,-42.0278,-42.0278,74,40,6.69,BR,1674755921
304,sobolevo,54.4299,31.8996,31.8996,93,55,3.89,RU,1674755922
305,verkh-usugli,52.7,115.1667,115.1667,96,99,0.89,RU,1674755922
306,port lincoln,-34.7333,135.8667,135.8667,75,0,6.82,AU,1674755923
307,waingapu,-9.6567,120.2641,120.2641,86,100,3.01,ID,1674755923
308,ancud,-41.8697,-73.8203,-73.8203,56,7,4.38,CL,1674755924
309,krasnogorskoye,52.2953,86.1979,86.1979,99,93,1.44,RU,1674755924
310,lata,40.1629,-8.3327,-8.3327,90,60,2.44,PT,1674755925
311,rosetta,31.4044,30.4164,30.4164,68,0,7.41,EG,1674755925
312,naron,43.5167,-8.1528,-8.1528,79,83,7.92,ES,1674755925
313,ajaigarh,24.9,80.2667,80.2667,85,34,2.23,IN,1674755926
314,portel,-1.9356,-50.8211,-50.8211,54,96,1.79,BR,1674755926
315,ewa beach,21.3156,-158.0072,-158.0072,76,30,4.02,US,1674755927
316,chernyshevskiy,63.0128,112.4714,112.4714,99,100,1.34,RU,1674755927
317,newtown saint boswells,55.5833,-2.6833,-2.6833,87,78,1.97,GB,1674755927
318,botwood,49.1499,-55.3482,-55.3482,83,84,4.47,CA,1674755928
319,nhamunda,-2.1861,-56.7131,-56.7131,80,100,0.77,BR,1674755928
320,marawi,7.9986,124.2928,124.2928,96,99,0.56,PH,1674755928
321,harper,4.375,-7.7169,-7.7169,76,15,3.8,LR,1674755929
322,thompson,55.7435,-97.8558,-97.8558,77,100,2.06,CA,1674755781
323,mapiripan,2.8892,-72.1256,-72.1256,31,35,5.19,CO,1674755929
324,bochum,51.4833,7.2167,7.2167,95,100,0.45,DE,1674755930
325,narsaq,60.9167,-46.05,-46.05,80,72,7.24,GL,1674755930
326,kalemie,-5.9475,29.1947,29.1947,87,100,0.79,CD,1674755930
327,anadyr,64.75,177.4833,177.4833,70,75,7.0,RU,1674755931
328,chebsara,59.2002,38.8356,38.8356,99,100,3.8,RU,1674755931
329,ponta do sol,32.6667,-17.1,-17.1,55,4,4.06,PT,1674755931
330,florida,28.7505,-82.5001,-82.5001,67,0,3.09,US,1674755650
331,matara,5.9485,80.5353,80.5353,88,85,1.24,LK,1674755932
332,mahbubnagar,16.7333,77.9833,77.9833,43,1,2.76,IN,1674755932
333,esfarayen,37.0765,57.5101,57.5101,43,0,1.12,IR,1674755932
334,isangel,-19.55,169.2667,169.2667,87,11,2.68,VU,1674755933
335,tezu,27.9167,96.1667,96.1667,39,66,1.56,IN,1674755933
336,parakai,-36.65,174.4333,174.4333,96,100,6.86,NZ,1674755934
337,port hardy,50.6996,-127.4199,-127.4199,100,75,1.54,CA,1674755934
338,the valley,18.217,-63.0578,-63.0578,61,20,6.17,AI,1674755935
339,silifke,36.3778,33.9344,33.9344,60,42,2.5,TR,1674755935
340,belmonte,-15.8631,-38.8828,-38.8828,61,73,5.04,BR,1674755935
341,carnarvon,-24.8667,113.6333,113.6333,78,18,8.34,AU,1674755936
342,asyut,27.181,31.1837,31.1837,25,26,0.99,EG,1674755936
343,tocopilla,-22.092,-70.1979,-70.1979,71,31,3.68,CL,1674755937
344,peringat,6.0333,102.2833,102.2833,94,20,0.0,MY,1674755937
345,mwanza,-2.5167,32.9,32.9,56,87,2.81,TZ,1674755937
346,puksoozero,62.5903,40.6066,40.6066,99,100,1.21,RU,1674755938
347,kavaratti,10.5669,72.642,72.642,77,40,4.25,IN,1674755938
348,zamora,-4.0692,-78.9567,-78.9567,62,35,2.12,EC,1674755939
349,xining,36.6167,101.7667,101.7667,50,13,1.25,CN,1674755939
350,mandalgovi,45.7625,106.2708,106.2708,80,0,5.73,MN,1674755940
351,el tigre,8.8875,-64.2454,-64.2454,35,20,4.64,VE,1674755940
352,turan,16.0678,108.2208,108.2208,88,75,0.0,VN,1674755649
353,casper,42.8666,-106.3131,-106.3131,79,82,7.71,US,1674755941
354,nioro,13.35,-15.75,-15.75,11,79,3.55,GM,1674755941
355,atar,20.5169,-13.0499,-13.0499,13,81,6.21,MR,1674755942
356,troitskoye,52.9821,84.6757,84.6757,72,57,6.97,RU,1674755942
357,kainantu,-6.2887,145.8655,145.8655,99,100,0.46,PG,1674755943
358,jobabo,20.9692,-76.2994,-76.2994,37,5,4.85,CU,1674755943
359,santiago,-33.4569,-70.6483,-70.6483,37,0,5.66,CL,1674755307
360,khasan,42.4308,130.6434,130.6434,80,4,3.55,RU,1674755944
361,velyka lepetykha,47.1757,33.9436,33.9436,70,0,3.09,UA,1674755944
362,nueve de julio,-35.4444,-60.8831,-60.8831,23,23,4.05,AR,1674755944
363,cap-aux-meules,47.3821,-61.8597,-61.8597,93,100,12.86,CA,1674755945
364,touros,-5.1989,-35.4608,-35.4608,58,8,5.56,BR,1674755945
